PLAYER,POS,BODY FAT %,"
            HAND LENGTH (inches)
          ",HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Nickeil Alexander-Walker,SG,5.90%,8.50,8.75,6' 4.25'',6' 5.5'',8' 6'',203.8,6' 9.5''
RJ Barrett,SF,-%,-,-,,,,-,
Charles Bassey,C,8.50%,9.25,9.50,6' 8.75'',6' 10'',9' 1.5'',239.0,7' 3.5''
Darius Bazley,PF,3.60%,9.00,9.75,6' 7.75'',6' 9'',8' 11'',208.4,7' 0''
Bol Bol,C,7.10%,9.25,9.50,7' 0.75'',7' 2.5'',9' 7.5'',208.0,7' 7''
Jordan Bone,SG,5.00%,7.50,9.25,6' 1.5'',6' 2.75'',7' 11'',179.0,6' 3.25''
Brian Bowen II,SF,6.50%,8.50,9.75,6' 6.25'',6' 7.5'',8' 7'',200.0,6' 10''
Ky Bowman,PG,4.90%,8.25,9.00,6' 1'',6' 2.25'',8' 2'',181.2,6' 7''
Ignas Brazdeikis,SF,6.00%,8.75,9.50,6' 5.75'',6' 7.25'',8' 6'',220.8,6' 9.25''
O'Shae Brissett,SF-PF,2.90%,9.00,9.50,6' 7'',6' 8'',8' 8'',203.2,7' 0''
Moses Brown,C,7.80%,9.50,10.25,7' 1.25'',7' 2.5'',9' 5'',237.2,7' 4.75''
Brandon Clarke,SF,4.90%,8.25,9.50,6' 7.25'',6' 8.25'',8' 6'',207.2,6' 8.25''
Nicolas Claxton,C,4.50%,9.25,9.50,6' 10'',6' 11.75'',9' 2'',216.6,7' 2.5''
Tyler Cook,PF,6.10%,9.50,10.75,6' 7.25'',6' 8.75'',8' 10.5'',245.4,7' 0.5''
Jarrett Culver,SG,5.00%,8.25,8.50,6' 5.25'',6' 6.75'',8' 4.5'',194.2,6' 9.5''
Terence Davis,SG,4.10%,9.25,10.75,6' 3'',6' 4.5'',8' 5'',192.4,6' 8.75''
Luguentz Dort,PG,5.00%,8.50,9.00,6' 2.75'',6' 4.25'',8' 3.5'',222.2,6' 8.5''
Devon Dotson,PG,5.90%,8.25,9.50,6' 0'',6' 2'',7' 11.5'',178.6,6' 3.25''
Carsen Edwards,PG,5.50%,8.75,9.00,5' 10.75'',6' 0.25'',7' 10.5'',199.4,6' 6''
Tacko Fall,C,6.80%,10.50,10.50,7' 5.25'',7' 7'',10' 2.5'',288.8,8' 2.25''
Bruno Fernando,C,5.40%,9.25,10.00,6' 8.75'',6' 10.25'',9' 2'',237.0,7' 3.25''
Daniel Gafford,PF,5.90%,9.25,9.25,6' 9.25'',6' 10.5'',9' 2'',237.6,7' 2.25''
Darius Garland,PG,-%,-,-,,,,-,
Quentin Grimes,SG,8.40%,8.25,10.00,6' 4'',6' 5.25'',8' 4.5'',209.6,6' 7.75''
Kyle Guy,SG,5.70%,8.00,8.75,6' 0.75'',6' 2.25'',7' 11.5'',167.8,6' 4.5''
Jaylen Hands,PG,5.10%,8.00,8.25,6' 1.5'',6' 3'',8' 1'',180.4,6' 5.5''
Jared Harper,PG,3.90%,8.25,9.50,5' 9.75'',5' 11'',7' 10'',169.2,6' 5.5''
Jaxson Hayes,PF,5.00%,9.25,10.50,6' 10.25'',6' 11.5'',9' 2.5'',218.6,7' 3.5''
Dewan Hernandez,C,6.10%,9.50,10.25,6' 9'',6' 10.25'',8' 11'',232.8,7' 1.75''
Tyler Herro,SG,7.10%,8.00,8.75,6' 4.5'',6' 6'',8' 4.5'',192.4,6' 3.25''
Jalen Hoard,PF,6.70%,8.75,9.75,6' 7.25'',6' 9'',8' 9.5'',212.6,7' 0.75''
Talen Horton-Tucker,SG,8.40%,9.50,9.75,6' 2.5'',6' 4'',8' 7'',235.4,7' 1.25''
De'Andre Hunter,,-%,-,-,,,,-,
DaQuan Jeffries,SF-PF,3.90%,9.50,10.25,6' 4'',6' 5'',8' 8'',215.6,6' 11.25''
Ty Jerome,PG,6.50%,8.25,9.50,6' 4.25'',6' 5.5'',8' 2'',194.4,6' 4''
Keldon Johnson,SG,5.60%,8.00,9.25,6' 4.75'',6' 6'',8' 8'',216.4,6' 9.25''
Cameron Johnson,SG,5.80%,8.00,8.50,6' 7'',6' 8.5'',8' 7'',205.2,6' 10''
Mfiondu Kabengele,PF,5.10%,9.25,10.75,6' 8.75'',6' 10.25'',9' 1.5'',256.2,7' 3''
Louis King,SF,4.80%,8.00,8.50,6' 6.75'',6' 8'',8' 8.5'',195.2,7' 0.25''
Romeo Langford,SG,-%,9.00,9.00,6' 4.5'',6' 6'',8' 7'',-,6' 11''
Dedric Lawson,PF,8.90%,9.75,9.75,6' 7'',6' 8.5'',8' 11.5'',233.0,7' 2.25''
Jalen Lecque,PG,4.00%,8.75,8.50,6' 2.5'',6' 4.25'',8' 2.5'',185.2,6' 8.5''
Nassir Little,SF,5.90%,8.75,10.00,6' 4.5'',6' 6'',8' 8.5'',224.2,7' 1.25''
Terance Mann,SG-SF,4.00%,9.50,9.25,6' 4.75'',6' 6.5'',8' 5'',204.6,6' 7.75''
Cody Martin,PG-SG,5.00%,8.25,9.00,6' 4.75'',6' 5.5'',8' 6.5'',192.2,6' 10.25''
Charles Matthews,SG,3.80%,8.50,8.75,6' 5'',6' 6.25'',8' 7'',194.8,6' 9.5''
Jalen McDaniels,SF,5.70%,9.00,10.00,6' 8.25'',6' 9.75'',8' 9.5'',191.6,7' 0.25''
Ja Morant,PG,-%,-,-,,,,-,
Zach Norvell Jr.,SG,7.50%,8.50,9.50,6' 4.5'',6' 5.5'',8' 5'',206.4,6' 6''
Jaylen Nowell,SG,6.10%,8.25,8.50,6' 3.25'',6' 4.25'',8' 2'',202.4,6' 7.25''
Jordan Nwora,PF,7.80%,8.50,9.25,6' 5.75'',6' 7.5'',8' 7'',220.0,6' 10.5''
Chuma Okeke,,-%,-,-,,,,-,
KZ Okpala,SF,4.60%,9.25,9.25,6' 7.25'',6' 9.5'',8' 10.5'',209.6,7' 1.75''
Miye Oni,SG,4.90%,9.00,10.00,6' 4.25'',6' 5.75'',8' 4.5'',205.6,6' 10.75''
Eric Paschall,SF,6.30%,9.00,9.50,6' 6'',6' 7.25'',8' 7.5'',254.4,6' 11.75''
Reggie Perry,SF-PF,6.70%,9.00,10.00,6' 8'',6' 9.25'',8' 10'',250.8,7' 0.5''
Shamorie Ponds,PG,9.80%,7.75,8.00,5' 11.5'',6' 0.5'',8' 0.5'',180.0,6' 3.5''
Jordan Poole,SG,7.50%,8.25,8.50,6' 3.5'',6' 5.5'',8' 3.5'',190.8,6' 6.75''
Jontay Porter,PF,8.50%,8.75,9.50,6' 9.75'',6' 11'',9' 1.5'',210.4,7' 0''
Kevin Porter Jr.,SG,5.10%,8.75,8.75,6' 4'',6' 5.5'',8' 7'',212.6,6' 9''
Neemias Queta,C,6.30%,9.50,11.00,6' 10.75'',7' 0.25'',9' 3.5'',225.8,7' 4.25''
Cameron Reddish,SF,4.70%,9.00,9.00,6' 6.5'',6' 8'',8' 9.5'',207.8,7' 0.5''
Naz Reid,PF,14.00%,9.50,9.25,6' 8.75'',6' 9.5'',9' 1'',255.8,7' 3.25''
Isaiah Roby,PF,3.90%,9.00,10.50,6' 7.25'',6' 8.5'',8' 10'',214.0,7' 1''
Luka Samanic,PF,5.60%,8.50,9.00,6' 9.5'',6' 11'',8' 11'',227.2,6' 10.5''
Admiral Schofield,SF,6.80%,8.75,9.00,6' 4'',6' 5.25'',8' 6.5'',240.6,6' 9.75''
Marial Shayok,SF-PF,4.70%,8.75,9.25,6' 4.5'',6' 5.5'',8' 7.5'',196.8,7' 0.25''
Simisola Shittu,PF,6.20%,8.75,8.50,6' 8.5'',6' 9.5'',8' 10'',227.2,7' 1.25''
Killian Tillie,,-%,-,-,,,,-,
P.J. Washington,PF,8.60%,9.00,10.25,6' 6.5'',6' 8'',8' 10.5'',230.4,7' 2.25''
Tremont Waters,PG,6.60%,8.00,9.75,5' 9.5'',5' 10.75'',7' 9.5'',172.4,6' 2.25''
Quinndary Weatherspoon,SG,6.10%,8.50,9.00,6' 3'',6' 4.25'',8' 4'',206.6,6' 9''
Coby White,PG,4.30%,7.75,9.00,6' 3.5'',6' 4.75'',8' 1.5'',191.4,6' 5''
Kris Wilkes,SF,4.90%,8.50,9.50,6' 6.25'',6' 7.75'',8' 7'',208.8,6' 10.75''
Grant Williams,PF,5.40%,9.00,10.50,6' 5.75'',6' 7.5'',8' 8.5'',240.2,6' 9.75''
Zion Williamson,PF,-%,-,-,,,,-,
Dylan Windler,SF,4.60%,8.25,9.50,6' 6.25'',6' 7.5'',8' 8.5'',195.8,6' 10''
