,Rank,Player,Efficiency,Unnamed: 0,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm,Unnamed: 0.1,BODY FAT %,"
            HAND LENGTH (inches)
          ",HAND WIDTH (inches),STANDING REACH,WINGSPAN
0,1,LeBron James,29.78,468.0,6-8,250.0,None,USA,2003.0,1,1,203.2,262.0,6.70%,-,-,8' 10.25'',7' 0.25''
1,2,Chris Paul,28.21,592.0,6-0,175.0,Wake Forest,USA,2005.0,1,4,182.88,440.0,-%,-,-,7' 9'',6' 4.25''
2,3,Amare Stoudemire,28.01,,,,,,,,,,,,,,,
3,4,Dwight Howard,26.85,515.0,6-11,265.0,None,USA,2004.0,1,1,210.82,331.0,10.50%,-,-,9' 3.5'',7' 4.5''
4,5,Kobe Bryant,26.64,180.0,6-6,205.0,None,USA,1996.0,1,13,198.12,,,,,,
5,6,Dirk Nowitzki,25.71,281.0,7-0,245.0,None,Germany,1998.0,1,9,213.36,,,,,,
6,7,Kevin Garnett,24.96,171.0,6-11,253.0,None,USA,1995.0,1,5,210.82,,,,,,
7,8,Tim Duncan,24.88,208.0,6-11,255.0,Wake Forest,US Virgin Isl...,1997.0,1,1,210.82,,,,,,
8,9,Chris Bosh,24.25,498.0,6-11,235.0,Georgia Tech,USA,2003.0,1,4,210.82,233.0,8.00%,-,-,9' 1'',7' 3.5''
9,10,Carlos Boozer,24.16,446.0,6-9,266.0,Duke,USA,2002.0,2,34,205.74,150.0,-%,-,-,9' 0.5'',7' 2.25''
10,11,Al Jefferson,23.78,521.0,6-10,289.0,None,USA,2004.0,1,15,208.28,337.0,10.50%,-,-,9' 2'',7' 2.5''
11,12,Carmelo Anthony,23.2,490.0,6-8,230.0,Syracuse,USA,2003.0,1,3,203.2,227.0,8.00%,-,-,8' 9.5'',7' 0''
12,13,Marcus Camby,23.18,187.0,6-11,235.0,Massachusetts,USA,1996.0,1,2,210.82,,,,,,
13,14,Allen Iverson,23.17,177.0,6-0,165.0,Georgetown,USA,1996.0,1,1,182.88,,,,,,
14,15,Pau Gasol,23.11,393.0,7-0,250.0,None,Spain,2001.0,1,3,213.36,,,,,,
15,16,Deron Williams,22.77,582.0,6-3,209.0,Illinois,USA,2005.0,1,3,190.5,461.0,-%,-,-,8' 2'',6' 6.25''
16,17,David West,22.33,477.0,6-9,240.0,Xavier,USA,2003.0,1,18,205.74,298.0,8.00%,-,-,9' 0.25'',7' 4.25''
17,18,Baron Davis,22.18,301.0,6-3,212.0,California-Los Angeles,USA,1999.0,1,3,190.5,,,,,,
18,19,Steve Nash,22.09,182.0,6-3,178.0,Santa Clara,Canada,1996.0,1,15,190.5,,,,,,
19,20,Antawn Jamison,21.82,267.0,6-9,235.0,North Carolina,USA,1998.0,1,4,205.74,,,,,,
20,21,Lamar Odom,21.55,309.0,6-10,230.0,Rhode Island,USA,1999.0,1,4,208.28,,,,,,
21,22,Vince Carter,21.45,271.0,6-6,220.0,North Carolina,USA,1998.0,1,5,198.12,,,,,,
22,23,Josh Smith,20.55,523.0,6-9,225.0,None,USA,2004.0,1,17,205.74,369.0,6.70%,-,-,8' 10.5'',7' 0''
23,24,Monta Ellis,20.51,593.0,6-3,185.0,None,USA,2005.0,2,40,190.5,402.0,-%,-,-,8' 2'',6' 2.75''
24,25,Jason Kidd,20.38,131.0,6-4,210.0,California,USA,1994.0,1,2,193.04,,,,,,
25,26,Brad Miller,20.14,1841.0,7-0,261.0,Purdue,USA,0.0,Undrafted,Undrafted,213.36,,,,,,
26,27,Tyson Chandler,19.68,382.0,7-1,240.0,None,USA,2001.0,1,2,215.9,79.0,6.70%,-,-,9' 2'',7' 3''
27,28,Andrew Bogut,19.62,561.0,7-0,260.0,Utah,Australia,2005.0,1,1,213.36,393.0,-%,-,-,9' 2.5'',7' 3''
28,29,Paul Pierce,19.49,240.0,6-7,235.0,Kansas,USA,1998.0,1,10,200.66,,,,,,
29,30,Hedo Turkoglu,19.42,329.0,6-10,220.0,None,Turkey,2000.0,1,16,208.28,,,,,,
30,31,Jason Richardson,19.4,411.0,6-6,225.0,Michigan State,USA,2001.0,1,5,198.12,125.0,5.30%,-,-,8' 6.5'',6' 11.5''
31,32,Andre Iguodala,19.38,560.0,6-6,207.0,Arizona,USA,2004.0,1,9,198.12,334.0,6.70%,-,-,8' 9.5'',6' 11''
32,33,Brandon Roy,19.22,663.0,6-6,229.0,Washington,USA,2006.0,1,6,198.12,520.0,7.60%,-,-,8' 5'',6' 8''
33,34,Corey Maggette,19.19,286.0,6-6,225.0,Duke,USA,1999.0,1,13,198.12,,,,,,
34,35,Manu Ginobili,19.09,316.0,6-6,205.0,None,Argentina,1999.0,2,57,198.12,,,,,,
35,36,Joe Johnson,19.06,372.0,6-7,240.0,Arkansas,USA,2001.0,1,10,200.66,111.0,6.70%,-,-,8' 9'',6' 9''
36,37,Emeka Okafor,18.95,526.0,6-10,255.0,Connecticut,USA,2004.0,1,2,208.28,353.0,5.30%,-,-,9' 2.5'',7' 4''
37,38,Tracy McGrady,18.93,238.0,6-8,225.0,None,USA,1997.0,1,9,203.2,,,,,,
38,39,Mike Dunleavy,18.93,441.0,6-9,230.0,Duke,USA,2002.0,1,3,205.74,162.0,-%,-,-,8' 10'',6' 9''
39,40,Danny Granger,18.77,568.0,6-8,228.0,New Mexico,USA,2005.0,1,17,203.2,414.0,-%,-,-,8' 7'',7' 1.5''
40,41,Chauncey Billups,18.76,224.0,6-3,210.0,Colorado,USA,1997.0,1,3,190.5,,,,,,
41,42,Andris Biedrins,18.53,517.0,7-0,242.0,None,Latvia,2004.0,1,11,213.36,307.0,9.30%,-,-,,
42,43,LaMarcus Aldridge,18.46,627.0,6-11,240.0,Texas,USA,2006.0,1,2,210.82,467.0,8.70%,-,-,9' 2'',7' 4.75''
43,44,Rudy Gay,18.42,666.0,6-8,230.0,Connecticut,USA,2006.0,1,8,203.2,490.0,5.70%,-,-,8' 11.5'',7' 3''
44,45,Richard Jefferson,18.34,375.0,6-7,230.0,Arizona,USA,2001.0,1,13,200.66,108.0,6.70%,-,-,8' 7'',7' 0''
45,46,Josh Howard,18.25,489.0,6-7,210.0,Wake Forest,USA,2003.0,1,29,200.66,257.0,6.00%,-,-,8' 9.5'',7' 2''
46,47,Michael Redd,18.11,357.0,6-6,215.0,Ohio State,USA,2000.0,2,43,198.12,49.0,-%,-,-,8' 6'',6' 9''
47,48,Andre Miller,18.1,319.0,6-2,200.0,Utah,USA,1999.0,1,8,187.96,,,,,,
48,49,Mike Miller,18.07,361.0,6-8,210.0,Florida,USA,2000.0,1,5,203.2,,,,,,
49,50,Rashard Lewis,18.02,261.0,6-10,230.0,None,USA,1998.0,2,32,208.28,,,,,,
50,51,Tony Parker,17.86,391.0,6-2,185.0,None,France,2001.0,1,28,187.96,,,,,,
51,52,Zydrunas Ilgauskas,17.79,188.0,7-3,260.0,None,Lithuania,1996.0,1,20,220.98,,,,,,
52,53,Jose Calderon,17.6,1879.0,6-3,211.0,None,Spain,0.0,Undrafted,Undrafted,190.5,,,,,,
53,54,Mehmet Okur,17.4,401.0,6-11,260.0,None,Turkey,2001.0,2,37,210.82,,,,,,
54,55,Samuel Dalembert,17.31,389.0,6-11,250.0,Seton Hall,Haiti,2001.0,1,26,210.82,,,,,,
55,56,Stephen Jackson,16.85,228.0,6-8,220.0,Butler Community College,USA,1997.0,2,42,203.2,,,,,,
56,57,David Lee,16.81,583.0,6-9,240.0,Florida,USA,2005.0,1,30,205.74,427.0,-%,-,-,8' 10.5'',7' 0''
57,58,Richard Hamilton,16.76,318.0,6-7,193.0,Connecticut,USA,1999.0,1,7,200.66,,,,,,
58,59,Al Horford,16.74,690.0,6-10,250.0,Florida,Dominican Rep...,2007.0,1,3,208.28,566.0,9.10%,-,-,8' 11'',7' 0.75''
59,60,Jamal Crawford,16.04,369.0,6-5,200.0,Michigan,USA,2000.0,1,8,195.58,10.0,-%,-,-,8' 6.5'',6' 10''
60,61,Rasheed Wallace,15.84,168.0,6-11,225.0,North Carolina,USA,1995.0,1,4,210.82,,,,,,
61,62,Nick Collison,15.83,471.0,6-10,255.0,Kansas,USA,2003.0,1,12,208.28,237.0,17.00%,-,-,9' 0'',7' 1.5''
62,63,Troy Murphy,15.77,376.0,6-11,245.0,Notre Dame,USA,2001.0,1,14,210.82,119.0,11.70%,-,-,8' 9.5'',6' 11''
63,64,Grant Hill,15.74,135.0,6-8,225.0,Duke,USA,1994.0,1,3,203.2,,,,,,
64,65,Kevin Durant,15.6,679.0,6-9,235.0,Texas,USA,2007.0,1,2,205.74,557.0,6.60%,-,-,9' 2'',7' 4.75''
65,66,Ray Allen,15.48,201.0,6-5,205.0,Connecticut,USA,1996.0,1,5,195.58,,,,,,
66,67,Andrei Kirilenko,15.39,296.0,6-9,210.0,None,Russia,1999.0,1,24,205.74,,,,,,
67,68,Raymond Felton,15.24,602.0,6-1,205.0,North Carolina,USA,2005.0,1,5,185.42,403.0,-%,-,-,8' 2'',6' 4.25''
68,69,Kenyon Martin,15.17,322.0,6-9,240.0,Cincinnati,USA,2000.0,1,1,205.74,,,,,,
69,70,Brendan Haywood,15.01,383.0,7-0,263.0,North Carolina,USA,2001.0,1,20,213.36,103.0,12.90%,-,-,9' 5.5'',7' 6.5''
70,71,Ben Gordon,14.61,537.0,6-3,200.0,Connecticut,USA,2004.0,1,3,190.5,329.0,5.30%,-,-,8' 3'',6' 8.5''
71,72,Marvin Williams,14.55,571.0,6-9,245.0,North Carolina,USA,2005.0,1,2,205.74,460.0,-%,-,-,9' 0'',7' 3.5''
72,73,Jason Terry,14.47,283.0,6-2,180.0,Arizona,USA,1999.0,1,10,187.96,,,,,,
73,74,Jameer Nelson,14.3,527.0,6-0,190.0,None,USA,2004.0,1,20,182.88,351.0,8.00%,-,-,7' 11'',6' 2.5''
74,75,Peja Stojakovic,14.3,181.0,6-9,229.0,None,Serbia and Mo...,1996.0,1,14,205.74,,,,,,
75,76,Tayshaun Prince,14.28,435.0,6-9,215.0,Kentucky,USA,2002.0,1,23,205.74,,,,,,
76,77,Josh Childress,14.27,557.0,6-8,210.0,Stanford,USA,2004.0,1,6,203.2,316.0,9.30%,-,-,8' 9'',6' 11''
77,78,Rajon Rondo,14.25,629.0,6-1,186.0,Kentucky,USA,2006.0,1,21,185.42,,,,,,
78,79,Jeff Foster,14.18,293.0,6-11,250.0,S.W. Texas State,USA,1999.0,1,21,210.82,,,,,,
79,80,Antonio McDyess,14.13,158.0,6-9,245.0,Alabama,USA,1995.0,1,2,205.74,,,,,,
80,81,Ryan Gomes,13.76,603.0,6-7,245.0,Providence,USA,2005.0,2,50,200.66,,,,,,
81,82,Al Harrington,13.68,254.0,6-9,250.0,None,USA,1998.0,1,25,205.74,,,,,,
82,83,Earl Watson,13.55,402.0,6-1,199.0,California-Los Angeles,USA,2001.0,2,39,185.42,138.0,4.00%,-,-,8' 1'',6' 6.75''
83,84,Kirk Hinrich,13.55,512.0,6-4,190.0,Kansas,USA,2003.0,1,7,193.04,254.0,5.30%,-,-,8' 2.5'',6' 6''
84,85,Anthony Parker,13.36,219.0,6-6,210.0,Bradley,USA,1997.0,1,21,198.12,,,,,,
85,86,Leandro Barbosa,13.34,488.0,6-3,194.0,None,Brazil,2003.0,1,28,190.5,,,,,,
86,87,Jamario Moon,13.23,1869.0,6-8,205.0,Meridian Community College,USA,0.0,Undrafted,Undrafted,203.2,,,,,,
87,88,Rafer Alston,13.19,266.0,6-2,171.0,Fresno State,USA,1998.0,2,39,187.96,,,,,,
88,89,Ricky Davis,13.12,250.0,6-7,197.0,Iowa,USA,1998.0,1,21,200.66,,,,,,
89,90,John Salmons,13.11,438.0,6-6,207.0,Miami (FL),USA,2002.0,1,26,198.12,208.0,-%,-,-,8' 8'',6' 10.25''
90,91,Luis Scola,12.98,461.0,6-9,245.0,None,Argentina,2002.0,2,55,205.74,,,,,,
91,92,Ronnie Brewer,12.97,621.0,6-7,227.0,Arkansas,USA,2006.0,1,14,200.66,477.0,5.00%,-,-,8' 7.5'',6' 11.25''
92,93,Shane Battier,12.51,416.0,6-8,225.0,Duke,USA,2001.0,1,6,203.2,68.0,9.30%,-,-,8' 9'',6' 10.5''
93,94,Boris Diaw,12.41,481.0,6-8,235.0,None,France,2003.0,1,21,203.2,,,,,,
94,95,Erick Dampier,12.4,178.0,6-11,265.0,Mississippi State,USA,1996.0,1,10,210.82,,,,,,
95,96,Raja Bell,12.32,1896.0,6-5,210.0,Florida International,U.S. Virgin I...,0.0,Undrafted,Undrafted,195.58,,,,,,
96,97,Josh Boone,12.2,631.0,6-10,237.0,Connecticut,USA,2006.0,1,23,208.28,,,,,,
97,98,Mikki Moore,12.1,1894.0,7-0,225.0,Nebraska,USA,0.0,Undrafted,Undrafted,213.36,,,,,,
98,99,Anthony Carter,11.99,1835.0,6-1,190.0,Hawaii,USA,0.0,Undrafted,Undrafted,185.42,,,,,,
99,100,Cuttino Mobley,11.96,268.0,6-4,210.0,Rhode Island,USA,1998.0,2,41,193.04,,,,,,
